a_o,codigo_departamento,departamento,codigo_municipio,municipio,hectareas_con_permisos,hectareas_en_transito_a,hectareas_explotacion_ilicita,total_evidencia_explotacion
2018,19,CAUCA,19698,SANTANDER DE QUILICHAO,0.0,0.0,55.922793,55.922793
2018,19,CAUCA,19701,SANTA ROSA,0.0,0.0,22.297499,22.297499
2018,19,CAUCA,19780,SUÁREZ,0.0,0.0,2.07,2.07
2018,19,CAUCA,19809,TIMBIQUÍ,609.789852,132.393764,564.399916,1306.583532
2018,23,CORDOBA,23068,AYAPEL,40.528758,13.551232,3758.426146,3812.506136
2018,23,CORDOBA,23350,LA APARTADA,0.0,0.0,10.934999,10.934999
2018,23,CORDOBA,23682,SAN JOSÉ DE URÉ,113.754211,0.0,19.024645,132.778856
2018,23,CORDOBA,23807,TIERRALTA,0.0,0.0,26.235001,26.235001
2018,27,CHOCÓ,27001,QUIBDÓ,166.310248,35.957315,2021.108153,2223.375716
2018,27,CHOCÓ,27006,ACANDÍ,0.0,0.0,62.099998,62.099998
2018,27,CHOCÓ,27050,ATRATO (Yuto),0.0,63.016078,1000.064639,1063.080717
2018,27,CHOCÓ,27073,BAGADÓ,51.694486,0.010886,255.707961,307.413333
2019,13,BOYACA,13160,CANTAGALLO,0.0,0.0,1.17,1.17
2018,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO (Managrú),0.0,98.310447,4705.600323,4803.91077
2018,27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),0.0,2.619906,0.0,2.619906
2018,27,CHOCÓ,27160,CÉRTEGUI,14.317637,113.005454,1318.604261,1445.927352
2018,27,CHOCÓ,27205,CONDOTO,340.817737,888.928173,1337.15504,2566.90095
2018,27,CHOCÓ,27361,ISTMINA,1948.670067,5.170923,2430.936107,4384.777097
2018,27,CHOCÓ,27413,LLORÓ,0.0,5.671722,682.7755,688.447222
2018,27,CHOCÓ,27425,MEDIO ATRATO (Beté),50.628712,284.765862,1733.719559,2069.114133
2018,27,CHOCÓ,27430,MEDIO BAUDÓ(Boca de Pepé),2.339695,0.0,2.809561,5.149256
2018,27,CHOCÓ,27450,MEDIO SAN JUAN (Andagoya),0.0,90.498057,1262.93876,1353.436817
2018,27,CHOCÓ,27491,NÓVITA,1408.641229,173.116508,3569.662987,5151.420724
2018,27,CHOCÓ,27580,RIO IRÓ (Santa Rita),11.760117,7.503937,520.034342,539.298396
2018,27,CHOCÓ,27600,RIO QUITO (Paimadó),1123.317148,99.286092,1778.917196,3001.520436
2018,27,CHOCÓ,27615,RIOSUCIO,5.715371,247.466834,66.960397,320.142602
2018,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,0.0,2.259401,86.278096,88.537497
2018,27,CHOCÓ,27745,SIPÍ,65.978418,0.0,589.183199,655.161617
2018,27,CHOCÓ,27787,TADÓ,43.944519,157.087593,1068.559726,1269.591838
2018,27,CHOCÓ,27800,UNGUÍA,0.0,0.0,85.679999,85.679999
2018,27,CHOCÓ,27810,UNIÓN PANAMERICANA ( Animas),252.560978,1249.061011,1604.349188,3105.971177
2018,52,NARIÑO,52079,BARBACOAS,0.0,274.045833,1334.652096,1608.697929
